Name,Type,Place
Chicken,Meat,Fridge
Beef,Meat,Fridge
Bacon,Meat,Fridge
Pork,Meat,Fridge
Sausages,Meat,Fridge
Broccoli,Veggie,Fridge
Green Beans,Veggie,Fridge
Pepper,Veggie,Fridge
Corn,Veggie,Fridge
Lettuce,Veggie,Fridge
Mushrooms,Veggie,Fridge
Spring Onion,Veggie,Fridge
Cucumber,Veggie,Fridge
Courgette,Veggie,Fridge
Carrot,Veggie,Fridge
Pasta,Carbs,Cupboard
Rice,Carbs,Cupboard
Potatoes,Carbs,Cupboard
Bread,Carbs,Cupboard
Naan,Carbs,Cupboard
Gnocchi,Carbs,Fridge
Poppadom,Carbs,Cupboard
Mascarpone Sauce,Seasoning,Fridge
Fish Sauce,Seasoning,Cupboard
Hoisin Sauce,Seasoning,Cupboard
Soja Sauce,Seasoning,Cupboard
Dressing,Seasoning,Fridge
Crème Fraiche,Seasoning,Fridge
